"Notes"	"State"	"State Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Alabama"	"01"	"White"	"2106-3"	"1999"	"1999"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	20	3211308	0.6	0.6
	"Alabama"	"01"	"White"	"2106-3"	"1999"	"1999"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	19	3211308	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"1999"	"1999"	"Alcoholic cirrhosis of liver"	"K70.3"	66	3211308	2.1	1.9
	"Alabama"	"01"	"White"	"2106-3"	"1999"	"1999"	"Alcoholic hepatic failure"	"K70.4"	18	3211308	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"1999"	"1999"	"Alcoholic liver disease, unspecified"	"K70.9"	16	3211308	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"1999"	"1999"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	18	3211308	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"1999"	"1999"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	66	3211308	2.1	2.0
	"Alabama"	"01"	"White"	"2106-3"	"1999"	"1999"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	24	3211308	0.7	0.7
	"Alabama"	"01"	"White"	"2106-3"	"1999"	"1999"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	10	3211308	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2000"	"2000"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	24	3218218	0.7	0.7
	"Alabama"	"01"	"White"	"2106-3"	"2000"	"2000"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	16	3218218	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2000"	"2000"	"Alcoholic hepatitis"	"K70.1"	11	3218218	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2000"	"2000"	"Alcoholic cirrhosis of liver"	"K70.3"	56	3218218	1.7	1.6
	"Alabama"	"01"	"White"	"2106-3"	"2000"	"2000"	"Alcoholic hepatic failure"	"K70.4"	20	3218218	0.6	0.6
	"Alabama"	"01"	"White"	"2106-3"	"2000"	"2000"	"Alcoholic liver disease, unspecified"	"K70.9"	11	3218218	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2000"	"2000"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	18	3218218	Unreliable	Unreliable
