"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"1999"	"1999"	"Female"	"F"	1	1852123	Unreliable
	"< 1 year"	"0"	"1999"	"1999"	"Male"	"M"	4	1943639	Unreliable
"Total"	"< 1 year"	"0"	"1999"	"1999"			5	3795762	Unreliable
	"< 1 year"	"0"	"2000"	"2000"	"Female"	"F"	1	1856631	Unreliable
	"< 1 year"	"0"	"2000"	"2000"	"Male"	"M"	5	1949017	Unreliable
"Total"	"< 1 year"	"0"	"2000"	"2000"			6	3805648	Unreliable
	"< 1 year"	"0"	"2001"	"2001"	"Female"	"F"	2	1962905	Unreliable
	"< 1 year"	"0"	"2001"	"2001"	"Male"	"M"	3	2049753	Unreliable
"Total"	"< 1 year"	"0"	"2001"	"2001"			5	4012658	Unreliable
	"< 1 year"	"0"	"2002"	"2002"	"Female"	"F"	1	1932939	Unreliable
	"< 1 year"	"0"	"2002"	"2002"	"Male"	"M"	6	2018522	Unreliable
"Total"	"< 1 year"	"0"	"2002"	"2002"			7	3951461	Unreliable
	"< 1 year"	"0"	"2003"	"2003"	"Female"	"F"	0	1942634	Unreliable
	"< 1 year"	"0"	"2003"	"2003"	"Male"	"M"	2	2033237	Unreliable
"Total"	"< 1 year"	"0"	"2003"	"2003"			2	3975871	Unreliable
	"< 1 year"	"0"	"2004"	"2004"	"Female"	"F"	3	1962216	Unreliable
	"< 1 year"	"0"	"2004"	"2004"	"Male"	"M"	6	2052042	Unreliable
"Total"	"< 1 year"	"0"	"2004"	"2004"			9	4014258	Unreliable
	"< 1 year"	"0"	"2005"	"2005"	"Female"	"F"	4	1956682	Unreliable
	"< 1 year"	"0"	"2005"	"2005"	"Male"	"M"	6	2047711	Unreliable
"Total"	"< 1 year"	"0"	"2005"	"2005"			10	4004393	Unreliable
	"< 1 year"	"0"	"2006"	"2006"	"Female"	"F"	3	1975919	Unreliable
	"< 1 year"	"0"	"2006"	"2006"	"Male"	"M"	2	2065819	Unreliable
"Total"	"< 1 year"	"0"	"2006"	"2006"			5	4041738	Unreliable
	"< 1 year"	"0"	"2007"	"2007"	"Female"	"F"	1	2027181	Unreliable
	"< 1 year"	"0"	"2007"	"2007"	"Male"	"M"	4	2120816	Unreliable
"Total"	"< 1 year"	"0"	"2007"	"2007"			5	4147997	Unreliable
	"< 1 year"	"0"	"2008"	"2008"	"Female"	"F"	4	2022889	Unreliable
	"< 1 year"	"0"	"2008"	"2008"	"Male"	"M"	7	2109846	Unreliable
"Total"	"< 1 year"	"0"	"2008"	"2008"			11	4132735	Unreliable
	"< 1 year"	"0"	"2009"	"2009"	"Female"	"F"	1	1959169	Unreliable
	"< 1 year"	"0"	"2009"	"2009"	"Male"	"M"	2	2044418	Unreliable
"Total"	"< 1 year"	"0"	"2009"	"2009"			3	4003587	Unreliable
	"< 1 year"	"0"	"2010"	"2010"	"Female"	"F"	2	1929877	Unreliable
	"< 1 year"	"0"	"2010"	"2010"	"Male"	"M"	2	2014276	Unreliable
"Total"	"< 1 year"	"0"	"2010"	"2010"			4	3944153	Unreliable
	"< 1 year"	"0"	"2011"	"2011"	"Female"	"F"	2	1952827	Unreliable
	"< 1 year"	"0"	"2011"	"2011"	"Male"	"M"	2	2043710	Unreliable
"Total"	"< 1 year"	"0"	"2011"	"2011"			4	3996537	Unreliable
	"< 1 year"	"0"	"2012"	"2012"	"Female"	"F"	0	1926339	Unreliable
	"< 1 year"	"0"	"2012"	"2012"	"Male"	"M"	1	2016738	Unreliable
"Total"	"< 1 year"	"0"	"2012"	"2012"			1	3943077	Unreliable
	"< 1 year"	"0"	"2013"	"2013"	"Female"	"F"	1	1925056	Unreliable
	"< 1 year"	"0"	"2013"	"2013"	"Male"	"M"	0	2016727	Unreliable
"Total"	"< 1 year"	"0"	"2013"	"2013"			1	3941783	Unreliable
	"< 1 year"	"0"	"2014"	"2014"	"Female"	"F"	1	1930493	Unreliable
	"< 1 year"	"0"	"2014"	"2014"	"Male"	"M"	0	2017857	Unreliable
"Total"	"< 1 year"	"0"	"2014"	"2014"			1	3948350	Unreliable
	"< 1 year"	"0"	"2015"	"2015"	"Female"	"F"	2	1942904	Unreliable
	"< 1 year"	"0"	"2015"	"2015"	"Male"	"M"	1	2035134	Unreliable
"Total"	"< 1 year"	"0"	"2015"	"2015"			3	3978038	Unreliable
	"< 1 year"	"0"	"2016"	"2016"	"Female"	"F"	3	1939667	Unreliable
	"< 1 year"	"0"	"2016"	"2016"	"Male"	"M"	3	2030478	Unreliable
"Total"	"< 1 year"	"0"	"2016"	"2016"			6	3970145	Unreliable
	"< 1 year"	"0"	"2017"	"2017"	"Female"	"F"	1	1924145	Unreliable
	"< 1 year"	"0"	"2017"	"2017"	"Male"	"M"	1	2015150	Unreliable
"Total"	"< 1 year"	"0"	"2017"	"2017"			2	3939295	Unreliable
	"< 1 year"	"0"	"2018"	"2018"	"Female"	"F"	3	1879703	Unreliable
	"< 1 year"	"0"	"2018"	"2018"	"Male"	"M"	2	1968505	Unreliable
"Total"	"< 1 year"	"0"	"2018"	"2018"			5	3848208	Unreliable
	"< 1 year"	"0"	"2019"	"2019"	"Female"	"F"	0	1847935	Unreliable
	"< 1 year"	"0"	"2019"	"2019"	"Male"	"M"	0	1935117	Unreliable
"Total"	"< 1 year"	"0"	"2019"	"2019"			0	3783052	Unreliable
"Total"	"< 1 year"	"0"					95	83178746	0.1
	"1 year"	"1"	"1999"	"1999"	"Female"	"F"	0	1849170	Unreliable
	"1 year"	"1"	"1999"	"1999"	"Male"	"M"	0	1935918	Unreliable
"Total"	"1 year"	"1"	"1999"	"1999"			0	3785088	Unreliable
	"1 year"	"1"	"2000"	"2000"	"Female"	"F"	0	1867477	Unreliable
	"1 year"	"1"	"2000"	"2000"	"Male"	"M"	0	1953105	Unreliable
"Total"	"1 year"	"1"	"2000"	"2000"			0	3820582	Unreliable
	"1 year"	"1"	"2001"	"2001"	"Female"	"F"	0	1882601	Unreliable
	"1 year"	"1"	"2001"	"2001"	"Male"	"M"	0	1972806	Unreliable
"Total"	"1 year"	"1"	"2001"	"2001"			0	3855407	Unreliable
	"1 year"	"1"	"2002"	"2002"	"Female"	"F"	1	1960195	Unreliable
	"1 year"	"1"	"2002"	"2002"	"Male"	"M"	1	2044479	Unreliable
"Total"	"1 year"	"1"	"2002"	"2002"			2	4004674	Unreliable
	"1 year"	"1"	"2003"	"2003"	"Female"	"F"	0	1926719	Unreliable
	"1 year"	"1"	"2003"	"2003"	"Male"	"M"	0	2009420	Unreliable
"Total"	"1 year"	"1"	"2003"	"2003"			0	3936139	Unreliable
	"1 year"	"1"	"2004"	"2004"	"Female"	"F"	0	1932894	Unreliable
	"1 year"	"1"	"2004"	"2004"	"Male"	"M"	0	2020169	Unreliable
"Total"	"1 year"	"1"	"2004"	"2004"			0	3953063	Unreliable
	"1 year"	"1"	"2005"	"2005"	"Female"	"F"	0	1950494	Unreliable
	"1 year"	"1"	"2005"	"2005"	"Male"	"M"	1	2036538	Unreliable
"Total"	"1 year"	"1"	"2005"	"2005"			1	3987032	Unreliable
	"1 year"	"1"	"2006"	"2006"	"Female"	"F"	0	1942541	Unreliable
	"1 year"	"1"	"2006"	"2006"	"Male"	"M"	1	2029583	Unreliable
"Total"	"1 year"	"1"	"2006"	"2006"			1	3972124	Unreliable
	"1 year"	"1"	"2007"	"2007"	"Female"	"F"	1	1958096	Unreliable
	"1 year"	"1"	"2007"	"2007"	"Male"	"M"	0	2044119	Unreliable
"Total"	"1 year"	"1"	"2007"	"2007"			1	4002215	Unreliable
	"1 year"	"1"	"2008"	"2008"	"Female"	"F"	0	2005602	Unreliable
	"1 year"	"1"	"2008"	"2008"	"Male"	"M"	0	2095154	Unreliable
"Total"	"1 year"	"1"	"2008"	"2008"			0	4100756	Unreliable
	"1 year"	"1"	"2009"	"2009"	"Female"	"F"	0	1997919	Unreliable
	"1 year"	"1"	"2009"	"2009"	"Male"	"M"	0	2080878	Unreliable
"Total"	"1 year"	"1"	"2009"	"2009"			0	4078797	Unreliable
	"1 year"	"1"	"2010"	"2010"	"Female"	"F"	0	1947217	Unreliable
	"1 year"	"1"	"2010"	"2010"	"Male"	"M"	1	2030853	Unreliable
"Total"	"1 year"	"1"	"2010"	"2010"			1	3978070	Unreliable
	"1 year"	"1"	"2011"	"2011"	"Female"	"F"	0	1941933	Unreliable
	"1 year"	"1"	"2011"	"2011"	"Male"	"M"	1	2027089	Unreliable
"Total"	"1 year"	"1"	"2011"	"2011"			1	3969022	Unreliable
	"1 year"	"1"	"2012"	"2012"	"Female"	"F"	0	1946097	Unreliable
	"1 year"	"1"	"2012"	"2012"	"Male"	"M"	0	2035426	Unreliable
"Total"	"1 year"	"1"	"2012"	"2012"			0	3981523	Unreliable
	"1 year"	"1"	"2013"	"2013"	"Female"	"F"	0	1933929	Unreliable
	"1 year"	"1"	"2013"	"2013"	"Male"	"M"	2	2022013	Unreliable
"Total"	"1 year"	"1"	"2013"	"2013"			2	3955942	Unreliable
	"1 year"	"1"	"2014"	"2014"	"Female"	"F"	0	1938870	Unreliable
	"1 year"	"1"	"2014"	"2014"	"Male"	"M"	1	2023253	Unreliable
"Total"	"1 year"	"1"	"2014"	"2014"			1	3962123	Unreliable
	"1 year"	"1"	"2015"	"2015"	"Female"	"F"	0	1939269	Unreliable
	"1 year"	"1"	"2015"	"2015"	"Male"	"M"	1	2029295	Unreliable
"Total"	"1 year"	"1"	"2015"	"2015"			1	3968564	Unreliable
	"1 year"	"1"	"2016"	"2016"	"Female"	"F"	1	1953850	Unreliable
	"1 year"	"1"	"2016"	"2016"	"Male"	"M"	0	2041158	Unreliable
"Total"	"1 year"	"1"	"2016"	"2016"			1	3995008	Unreliable
	"1 year"	"1"	"2017"	"2017"	"Female"	"F"	0	1943534	Unreliable
	"1 year"	"1"	"2017"	"2017"	"Male"	"M"	1	2031718	Unreliable
"Total"	"1 year"	"1"	"2017"	"2017"			1	3975252	Unreliable
	"1 year"	"1"	"2018"	"2018"	"Female"	"F"	0	1911513	Unreliable
	"1 year"	"1"	"2018"	"2018"	"Male"	"M"	0	2001387	Unreliable
"Total"	"1 year"	"1"	"2018"	"2018"			0	3912900	Unreliable
	"1 year"	"1"	"2019"	"2019"	"Female"	"F"	0	1871014	Unreliable
	"1 year"	"1"	"2019"	"2019"	"Male"	"M"	0	1958585	Unreliable
"Total"	"1 year"	"1"	"2019"	"2019"			0	3829599	Unreliable
