"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Alabama"	"01"	"2010"	"2010"	590	4779736	12.3	10.9
	"Alabama"	"01"	"2011"	"2011"	650	4802740	13.5	11.8
	"Alabama"	"01"	"2012"	"2012"	717	4822023	14.9	12.9
	"Alabama"	"01"	"2013"	"2013"	664	4833722	13.7	11.7
	"Alabama"	"01"	"2014"	"2014"	788	4849377	16.2	13.7
	"Alabama"	"01"	"2015"	"2015"	804	4858979	16.5	14.1
	"Alabama"	"01"	"2016"	"2016"	902	4863300	18.5	15.3
	"Alabama"	"01"	"2017"	"2017"	889	4874747	18.2	15.0
	"Alabama"	"01"	"2018"	"2018"	898	4887871	18.4	15.0
	"Alabama"	"01"	"2019"	"2019"	961	4903185	19.6	15.9
	"Alabama"	"01"	"2020 "	"2020"	1136	4921532	23.1	18.9
	"Alaska"	"02"	"2010"	"2010"	129	710231	18.2	18.0
	"Alaska"	"02"	"2011"	"2011"	161	722718	22.3	21.4
	"Alaska"	"02"	"2012"	"2012"	145	731449	19.8	19.7
	"Alaska"	"02"	"2013"	"2013"	137	735132	18.6	19.1
	"Alaska"	"02"	"2014"	"2014"	154	736732	20.9	20.2
	"Alaska"	"02"	"2015"	"2015"	185	738432	25.1	24.7
	"Alaska"	"02"	"2016"	"2016"	197	741894	26.6	25.5
	"Alaska"	"02"	"2017"	"2017"	182	739795	24.6	22.8
	"Alaska"	"02"	"2018"	"2018"	217	737438	29.4	28.5
	"Alaska"	"02"	"2019"	"2019"	201	731545	27.5	25.9
	"Alaska"	"02"	"2020 "	"2020"	258	731158	35.3	34.0
	"Arizona"	"04"	"2010"	"2010"	1197	6392017	18.7	17.7
	"Arizona"	"04"	"2011"	"2011"	1286	6482505	19.8	18.4
	"Arizona"	"04"	"2012"	"2012"	1348	6553255	20.6	18.8
	"Arizona"	"04"	"2013"	"2013"	1422	6626624	21.5	19.7
	"Arizona"	"04"	"2014"	"2014"	1431	6731484	21.3	19.2
	"Arizona"	"04"	"2015"	"2015"	1520	6828065	22.3	20.2
	"Arizona"	"04"	"2016"	"2016"	1605	6931071	23.2	20.8
	"Arizona"	"04"	"2017"	"2017"	1561	7016270	22.2	20.0
	"Arizona"	"04"	"2018"	"2018"	1600	7171646	22.3	19.7
	"Arizona"	"04"	"2019"	"2019"	1694	7278717	23.3	20.6
	"Arizona"	"04"	"2020 "	"2020"	2064	7421401	27.8	24.9
	"Arkansas"	"05"	"2010"	"2010"	401	2915918	13.8	12.4
	"Arkansas"	"05"	"2011"	"2011"	382	2937979	13.0	11.5
	"Arkansas"	"05"	"2012"	"2012"	398	2949131	13.5	11.7
	"Arkansas"	"05"	"2013"	"2013"	421	2959373	14.2	12.4
	"Arkansas"	"05"	"2014"	"2014"	449	2966369	15.1	12.8
	"Arkansas"	"05"	"2015"	"2015"	493	2978204	16.6	14.4
	"Arkansas"	"05"	"2016"	"2016"	502	2988248	16.8	14.6
	"Arkansas"	"05"	"2017"	"2017"	480	3004279	16.0	13.8
	"Arkansas"	"05"	"2018"	"2018"	550	3013825	18.2	15.6
	"Arkansas"	"05"	"2019"	"2019"	571	3017804	18.9	16.1
	"Arkansas"	"05"	"2020 "	"2020"	671	3030522	22.1	18.7
	"California"	"06"	"2010"	"2010"	5295	37253956	14.2	13.9
	"California"	"06"	"2011"	"2011"	5566	37691912	14.8	14.3
	"California"	"06"	"2012"	"2012"	5583	38041430	14.7	14.0
	"California"	"06"	"2013"	"2013"	5827	38332521	15.2	14.3
	"California"	"06"	"2014"	"2014"	6026	38802500	15.5	14.4
	"California"	"06"	"2015"	"2015"	6502	39144818	16.6	15.3
	"California"	"06"	"2016"	"2016"	6385	39250017	16.3	14.8
	"California"	"06"	"2017"	"2017"	6496	39536653	16.4	14.8
	"California"	"06"	"2018"	"2018"	6607	39557045	16.7	15.0
	"California"	"06"	"2019"	"2019"	6840	39512223	17.3	15.4
	"California"	"06"	"2020 "	"2020"	7803	39368078	19.8	17.6
	"Colorado"	"08"	"2010"	"2010"	902	5029196	17.9	16.9
	"Colorado"	"08"	"2011"	"2011"	939	5116796	18.4	17.1
	"Colorado"	"08"	"2012"	"2012"	964	5187582	18.6	17.1
	"Colorado"	"08"	"2013"	"2013"	1043	5268367	19.8	18.4
	"Colorado"	"08"	"2014"	"2014"	1034	5355866	19.3	17.6
	"Colorado"	"08"	"2015"	"2015"	1061	5456574	19.4	17.8
	"Colorado"	"08"	"2016"	"2016"	1102	5540545	19.9	18.2
	"Colorado"	"08"	"2017"	"2017"	1218	5607154	21.7	19.7
	"Colorado"	"08"	"2018"	"2018"	1240	5695564	21.8	19.6
	"Colorado"	"08"	"2019"	"2019"	1410	5758736	24.5	22.0
	"Colorado"	"08"	"2020 "	"2020"	1783	5807719	30.7	27.6
	"Connecticut"	"09"	"2010"	"2010"	379	3574097	10.6	9.2
	"Connecticut"	"09"	"2011"	"2011"	378	3580709	10.6	8.9
	"Connecticut"	"09"	"2012"	"2012"	398	3590347	11.1	9.4
	"Connecticut"	"09"	"2013"	"2013"	462	3596080	12.8	10.9
	"Connecticut"	"09"	"2014"	"2014"	501	3596677	13.9	11.7
	"Connecticut"	"09"	"2015"	"2015"	516	3590886	14.4	11.9
	"Connecticut"	"09"	"2016"	"2016"	517	3576452	14.5	11.7
	"Connecticut"	"09"	"2017"	"2017"	553	3588184	15.4	12.4
	"Connecticut"	"09"	"2018"	"2018"	504	3572665	14.1	11.3
	"Connecticut"	"09"	"2019"	"2019"	598	3565287	16.8	13.1
	"Connecticut"	"09"	"2020 "	"2020"	770	3557006	21.6	18.0
	"Delaware"	"10"	"2010"	"2010"	136	897934	15.1	13.1
	"Delaware"	"10"	"2011"	"2011"	122	907135	13.4	11.5
	"Delaware"	"10"	"2012"	"2012"	103	917092	11.2	9.6
	"Delaware"	"10"	"2013"	"2013"	117	925749	12.6	10.6
	"Delaware"	"10"	"2014"	"2014"	140	935614	15.0	12.2
	"Delaware"	"10"	"2015"	"2015"	147	945934	15.5	13.2
	"Delaware"	"10"	"2016"	"2016"	161	952065	16.9	13.5
	"Delaware"	"10"	"2017"	"2017"	165	961939	17.2	14.1
	"Delaware"	"10"	"2018"	"2018"	154	967171	15.9	12.5
	"Delaware"	"10"	"2019"	"2019"	174	973764	17.9	14.0
	"Delaware"	"10"	"2020 "	"2020"	210	986809	21.3	16.7
	"District of Columbia"	"11"	"2010"	"2010"	96	601723	16.0	15.5
	"District of Columbia"	"11"	"2011"	"2011"	90	617996	14.6	14.3
	"District of Columbia"	"11"	"2012"	"2012"	83	632323	13.1	13.2
	"District of Columbia"	"11"	"2013"	"2013"	83	646449	12.8	12.9
	"District of Columbia"	"11"	"2014"	"2014"	77	658893	11.7	11.9
	"District of Columbia"	"11"	"2015"	"2015"	98	672228	14.6	14.2
	"District of Columbia"	"11"	"2016"	"2016"	95	681170	13.9	13.8
	"District of Columbia"	"11"	"2017"	"2017"	84	693972	12.1	12.4
	"District of Columbia"	"11"	"2018"	"2018"	92	702455	13.1	13.2
	"District of Columbia"	"11"	"2019"	"2019"	98	705749	13.9	13.6
	"District of Columbia"	"11"	"2020 "	"2020"	113	712816	15.9	15.8
	"Florida"	"12"	"2010"	"2010"	3037	18801310	16.2	13.1
	"Florida"	"12"	"2011"	"2011"	3157	19057542	16.6	13.3
	"Florida"	"12"	"2012"	"2012"	3244	19317568	16.8	13.5
	"Florida"	"12"	"2013"	"2013"	3385	19552860	17.3	13.8
	"Florida"	"12"	"2014"	"2014"	3771	19893297	19.0	14.9
