"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Alabama"	"01"	"2010"	"2010"	504	4779736	10.5	10.9
	"Alabama"	"01"	"2011"	"2011"	537	4802740	11.2	11.5
	"Alabama"	"01"	"2012"	"2012"	548	4822023	11.4	11.9
	"Alabama"	"01"	"2013"	"2013"	570	4833722	11.8	12.2
	"Alabama"	"01"	"2014"	"2014"	715	4849377	14.7	15.0
	"Alabama"	"01"	"2015"	"2015"	727	4858979	15.0	15.5
	"Alabama"	"01"	"2016"	"2016"	727	4863300	14.9	15.6
	"Alabama"	"01"	"2017"	"2017"	811	4874747	16.6	17.5
	"Alabama"	"01"	"2018"	"2018"	752	4887871	15.4	16.2
	"Alabama"	"01"	"2019"	"2019"	768	4903185	15.7	16.4
	"Alabama"	"01"	"2020 "	"2020"	1060	4921532	21.5	22.9
	"Alaska"	"02"	"2010"	"2010"	74	710231	10.4	10.3
	"Alaska"	"02"	"2011"	"2011"	97	722718	13.4	12.9
	"Alaska"	"02"	"2012"	"2012"	116	731449	15.9	15.4
	"Alaska"	"02"	"2013"	"2013"	97	735132	13.2	13.5
	"Alaska"	"02"	"2014"	"2014"	105	736732	14.3	14.1
	"Alaska"	"02"	"2015"	"2015"	107	738432	14.5	14.2
	"Alaska"	"02"	"2016"	"2016"	112	741894	15.1	14.5
	"Alaska"	"02"	"2017"	"2017"	134	739795	18.1	18.4
	"Alaska"	"02"	"2018"	"2018"	103	737438	14.0	13.7
	"Alaska"	"02"	"2019"	"2019"	129	731545	17.6	17.1
	"Alaska"	"02"	"2020 "	"2020"	157	731158	21.5	21.2
	"Arizona"	"04"	"2010"	"2010"	876	6392017	13.7	14.0
	"Arizona"	"04"	"2011"	"2011"	844	6482505	13.0	13.3
	"Arizona"	"04"	"2012"	"2012"	889	6553255	13.6	14.0
	"Arizona"	"04"	"2013"	"2013"	998	6626624	15.1	15.4
	"Arizona"	"04"	"2014"	"2014"	989	6731484	14.7	15.0
	"Arizona"	"04"	"2015"	"2015"	1063	6828065	15.6	16.0
	"Arizona"	"04"	"2016"	"2016"	1232	6931071	17.8	18.2
	"Arizona"	"04"	"2017"	"2017"	1378	7016270	19.6	20.2
	"Arizona"	"04"	"2018"	"2018"	1535	7171646	21.4	22.1
	"Arizona"	"04"	"2019"	"2019"	1773	7278717	24.4	25.2
	"Arizona"	"04"	"2020 "	"2020"	2404	7421401	32.4	33.8
	"Arkansas"	"05"	"2010"	"2010"	243	2915918	8.3	8.7
	"Arkansas"	"05"	"2011"	"2011"	275	2937979	9.4	9.9
	"Arkansas"	"05"	"2012"	"2012"	274	2949131	9.3	9.7
	"Arkansas"	"05"	"2013"	"2013"	232	2959373	7.8	8.0
	"Arkansas"	"05"	"2014"	"2014"	267	2966369	9.0	9.4
	"Arkansas"	"05"	"2015"	"2015"	304	2978204	10.2	10.8
	"Arkansas"	"05"	"2016"	"2016"	313	2988248	10.5	10.9
	"Arkansas"	"05"	"2017"	"2017"	368	3004279	12.2	12.9
	"Arkansas"	"05"	"2018"	"2018"	381	3013825	12.6	13.5
	"Arkansas"	"05"	"2019"	"2019"	336	3017804	11.1	11.6
	"Arkansas"	"05"	"2020 "	"2020"	495	3030522	16.3	17.4
	"California"	"06"	"2010"	"2010"	3385	37253956	9.1	8.8
	"California"	"06"	"2011"	"2011"	3607	37691912	9.6	9.2
	"California"	"06"	"2012"	"2012"	3564	38041430	9.4	9.0
	"California"	"06"	"2013"	"2013"	3942	38332521	10.3	9.9
	"California"	"06"	"2014"	"2014"	4072	38802500	10.5	10.0
	"California"	"06"	"2015"	"2015"	4373	39144818	11.2	10.6
	"California"	"06"	"2016"	"2016"	4426	39250017	11.3	10.7
	"California"	"06"	"2017"	"2017"	4696	39536653	11.9	11.2
	"California"	"06"	"2018"	"2018"	5200	39557045	13.1	12.5
	"California"	"06"	"2019"	"2019"	6076	39512223	15.4	14.7
	"California"	"06"	"2020 "	"2020"	8949	39368078	22.7	21.9
	"Colorado"	"08"	"2010"	"2010"	488	5029196	9.7	9.5
	"Colorado"	"08"	"2011"	"2011"	647	5116796	12.6	12.3
	"Colorado"	"08"	"2012"	"2012"	616	5187582	11.9	11.4
	"Colorado"	"08"	"2013"	"2013"	620	5268367	11.8	11.5
	"Colorado"	"08"	"2014"	"2014"	691	5355866	12.9	12.6
	"Colorado"	"08"	"2015"	"2015"	729	5456574	13.4	13.0
	"Colorado"	"08"	"2016"	"2016"	811	5540545	14.6	14.3
	"Colorado"	"08"	"2017"	"2017"	867	5607154	15.5	15.0
	"Colorado"	"08"	"2018"	"2018"	880	5695564	15.5	14.8
	"Colorado"	"08"	"2019"	"2019"	932	5758736	16.2	15.5
	"Colorado"	"08"	"2020 "	"2020"	1350	5807719	23.2	22.6
	"Connecticut"	"09"	"2010"	"2010"	305	3574097	8.5	8.6
	"Connecticut"	"09"	"2011"	"2011"	353	3580709	9.9	9.9
	"Connecticut"	"09"	"2012"	"2012"	385	3590347	10.7	10.6
	"Connecticut"	"09"	"2013"	"2013"	523	3596080	14.5	14.5
	"Connecticut"	"09"	"2014"	"2014"	568	3596677	15.8	16.3
	"Connecticut"	"09"	"2015"	"2015"	748	3590886	20.8	20.8
	"Connecticut"	"09"	"2016"	"2016"	907	3576452	25.4	25.9
	"Connecticut"	"09"	"2017"	"2017"	1036	3588184	28.9	30.0
	"Connecticut"	"09"	"2018"	"2018"	1028	3572665	28.8	29.7
	"Connecticut"	"09"	"2019"	"2019"	1174	3565287	32.9	33.7
	"Connecticut"	"09"	"2020 "	"2020"	1367	3557006	38.4	39.2
	"Delaware"	"10"	"2010"	"2010"	119	897934	13.3	13.7
	"Delaware"	"10"	"2011"	"2011"	125	907135	13.8	14.0
	"Delaware"	"10"	"2012"	"2012"	119	917092	13.0	12.8
	"Delaware"	"10"	"2013"	"2013"	135	925749	14.6	15.4
	"Delaware"	"10"	"2014"	"2014"	167	935614	17.8	18.7
	"Delaware"	"10"	"2015"	"2015"	180	945934	19.0	19.8
	"Delaware"	"10"	"2016"	"2016"	270	952065	28.4	29.5
	"Delaware"	"10"	"2017"	"2017"	323	961939	33.6	35.6
	"Delaware"	"10"	"2018"	"2018"	387	967171	40.0	42.4
	"Delaware"	"10"	"2019"	"2019"	415	973764	42.6	45.9
	"Delaware"	"10"	"2020 "	"2020"	430	986809	43.6	45.9
	"District of Columbia"	"11"	"2010"	"2010"	73	601723	12.1	11.9
	"District of Columbia"	"11"	"2011"	"2011"	71	617996	11.5	11.2
	"District of Columbia"	"11"	"2012"	"2012"	71	632323	11.2	11.5
	"District of Columbia"	"11"	"2013"	"2013"	89	646449	13.8	13.2
	"District of Columbia"	"11"	"2014"	"2014"	89	658893	13.5	13.3
	"District of Columbia"	"11"	"2015"	"2015"	119	672228	17.7	17.4
	"District of Columbia"	"11"	"2016"	"2016"	248	681170	36.4	35.6
	"District of Columbia"	"11"	"2017"	"2017"	299	693972	43.1	42.3
	"District of Columbia"	"11"	"2018"	"2018"	243	702455	34.6	33.7
	"District of Columbia"	"11"	"2019"	"2019"	293	705749	41.5	40.7
	"District of Columbia"	"11"	"2020 "	"2020"	401	712816	56.3	54.9
	"Florida"	"12"	"2010"	"2010"	2636	18801310	14.0	14.3
	"Florida"	"12"	"2011"	"2011"	2505	19057542	13.1	13.4
	"Florida"	"12"	"2012"	"2012"	2137	19317568	11.1	11.1
	"Florida"	"12"	"2013"	"2013"	2092	19552860	10.7	10.8
	"Florida"	"12"	"2014"	"2014"	2317	19893297	11.6	11.9
	"Florida"	"12"	"2015"	"2015"	2906	20271272	14.3	14.9
	"Florida"	"12"	"2016"	"2016"	4448	20612439	21.6	22.7
	"Florida"	"12"	"2017"	"2017"	4849	20984400	23.1	24.2
	"Florida"	"12"	"2018"	"2018"	4422	21299325	20.8	21.8
	"Florida"	"12"	"2019"	"2019"	5037	21477737	23.5	24.8
	"Florida"	"12"	"2020 "	"2020"	7058	21733312	32.5	34.4
	"Georgia"	"13"	"2010"	"2010"	937	9687653	9.7	9.5
	"Georgia"	"13"	"2011"	"2011"	963	9815210	9.8	9.7
	"Georgia"	"13"	"2012"	"2012"	969	9919945	9.8	9.7
	"Georgia"	"13"	"2013"	"2013"	993	9992167	9.9	9.8
	"Georgia"	"13"	"2014"	"2014"	1096	10097343	10.9	10.8
	"Georgia"	"13"	"2015"	"2015"	1210	10214860	11.8	11.8
