"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Alabama"	"01"	"2010"	"2010"	680	4779736	14.2	14.0
	"Alabama"	"01"	"2011"	"2011"	656	4802740	13.7	13.3
	"Alabama"	"01"	"2012"	"2012"	727	4822023	15.1	14.8
	"Alabama"	"01"	"2013"	"2013"	722	4833722	14.9	14.4
	"Alabama"	"01"	"2014"	"2014"	715	4849377	14.7	14.5
	"Alabama"	"01"	"2015"	"2015"	752	4858979	15.5	15.0
	"Alabama"	"01"	"2016"	"2016"	789	4863300	16.2	15.7
	"Alabama"	"01"	"2017"	"2017"	839	4874747	17.2	16.7
	"Alabama"	"01"	"2018"	"2018"	823	4887871	16.8	16.5
	"Alabama"	"01"	"2019"	"2019"	805	4903185	16.4	16.3
	"Alabama"	"01"	"2020 "	"2020"	796	4921532	16.2	16.0
	"Alaska"	"02"	"2010"	"2010"	166	710231	23.4	23.0
	"Alaska"	"02"	"2011"	"2011"	143	722718	19.8	20.0
	"Alaska"	"02"	"2012"	"2012"	168	731449	23.0	23.0
	"Alaska"	"02"	"2013"	"2013"	171	735132	23.3	23.2
	"Alaska"	"02"	"2014"	"2014"	167	736732	22.7	22.1
	"Alaska"	"02"	"2015"	"2015"	201	738432	27.2	26.9
	"Alaska"	"02"	"2016"	"2016"	193	741894	26.0	25.8
	"Alaska"	"02"	"2017"	"2017"	200	739795	27.0	27.0
	"Alaska"	"02"	"2018"	"2018"	185	737438	25.1	24.7
	"Alaska"	"02"	"2019"	"2019"	210	731545	28.7	28.5
	"Alaska"	"02"	"2020 "	"2020"	205	731158	28.0	27.6
	"Arizona"	"04"	"2010"	"2010"	1099	6392017	17.2	17.1
	"Arizona"	"04"	"2011"	"2011"	1167	6482505	18.0	17.9
	"Arizona"	"04"	"2012"	"2012"	1170	6553255	17.9	17.5
	"Arizona"	"04"	"2013"	"2013"	1171	6626624	17.7	17.7
	"Arizona"	"04"	"2014"	"2014"	1252	6731484	18.6	18.1
	"Arizona"	"04"	"2015"	"2015"	1279	6828065	18.7	18.2
	"Arizona"	"04"	"2016"	"2016"	1281	6931071	18.5	17.8
	"Arizona"	"04"	"2017"	"2017"	1331	7016270	19.0	18.2
	"Arizona"	"04"	"2018"	"2018"	1450	7171646	20.2	19.4
	"Arizona"	"04"	"2019"	"2019"	1426	7278717	19.6	18.8
	"Arizona"	"04"	"2020 "	"2020"	1368	7421401	18.4	17.7
	"Arkansas"	"05"	"2010"	"2010"	451	2915918	15.5	15.6
	"Arkansas"	"05"	"2011"	"2011"	466	2937979	15.9	16.1
	"Arkansas"	"05"	"2012"	"2012"	489	2949131	16.6	16.4
	"Arkansas"	"05"	"2013"	"2013"	519	2959373	17.5	17.5
	"Arkansas"	"05"	"2014"	"2014"	519	2966369	17.5	17.4
	"Arkansas"	"05"	"2015"	"2015"	578	2978204	19.4	19.1
	"Arkansas"	"05"	"2016"	"2016"	558	2988248	18.7	18.3
	"Arkansas"	"05"	"2017"	"2017"	632	3004279	21.0	20.8
	"Arkansas"	"05"	"2018"	"2018"	555	3013825	18.4	18.4
	"Arkansas"	"05"	"2019"	"2019"	549	3017804	18.2	18.0
	"Arkansas"	"05"	"2020 "	"2020"	585	3030522	19.3	19.1
	"California"	"06"	"2010"	"2010"	3973	37253956	10.7	10.5
	"California"	"06"	"2011"	"2011"	4039	37691912	10.7	10.5
	"California"	"06"	"2012"	"2012"	3947	38041430	10.4	10.1
	"California"	"06"	"2013"	"2013"	4079	38332521	10.6	10.4
	"California"	"06"	"2014"	"2014"	4263	38802500	11.0	10.6
	"California"	"06"	"2015"	"2015"	4199	39144818	10.7	10.4
	"California"	"06"	"2016"	"2016"	4338	39250017	11.1	10.6
	"California"	"06"	"2017"	"2017"	4358	39536653	11.0	10.6
	"California"	"06"	"2018"	"2018"	4529	39557045	11.4	11.0
	"California"	"06"	"2019"	"2019"	4487	39512223	11.4	10.8
	"California"	"06"	"2020 "	"2020"	4195	39368078	10.7	10.1
	"Colorado"	"08"	"2010"	"2010"	870	5029196	17.3	16.9
	"Colorado"	"08"	"2011"	"2011"	917	5116796	17.9	17.6
	"Colorado"	"08"	"2012"	"2012"	1054	5187582	20.3	19.7
	"Colorado"	"08"	"2013"	"2013"	1009	5268367	19.2	18.6
	"Colorado"	"08"	"2014"	"2014"	1093	5355866	20.4	20.0
	"Colorado"	"08"	"2015"	"2015"	1099	5456574	20.1	19.6
	"Colorado"	"08"	"2016"	"2016"	1176	5540545	21.2	20.6
	"Colorado"	"08"	"2017"	"2017"	1190	5607154	21.2	20.5
	"Colorado"	"08"	"2018"	"2018"	1289	5695564	22.6	22.0
	"Colorado"	"08"	"2019"	"2019"	1318	5758736	22.9	22.2
	"Colorado"	"08"	"2020 "	"2020"	1309	5807719	22.5	21.6
	"Connecticut"	"09"	"2010"	"2010"	356	3574097	10.0	9.4
	"Connecticut"	"09"	"2011"	"2011"	371	3580709	10.4	9.8
	"Connecticut"	"09"	"2012"	"2012"	371	3590347	10.3	9.9
	"Connecticut"	"09"	"2013"	"2013"	331	3596080	9.2	8.8
	"Connecticut"	"09"	"2014"	"2014"	380	3596677	10.6	9.8
	"Connecticut"	"09"	"2015"	"2015"	388	3590886	10.8	9.9
	"Connecticut"	"09"	"2016"	"2016"	398	3576452	11.1	10.1
	"Connecticut"	"09"	"2017"	"2017"	408	3588184	11.4	10.6
	"Connecticut"	"09"	"2018"	"2018"	421	3572665	11.8	10.6
	"Connecticut"	"09"	"2019"	"2019"	435	3565287	12.2	11.4
	"Connecticut"	"09"	"2020 "	"2020"	366	3557006	10.3	9.4
	"Delaware"	"10"	"2010"	"2010"	106	897934	11.8	11.3
	"Delaware"	"10"	"2011"	"2011"	105	907135	11.6	11.0
	"Delaware"	"10"	"2012"	"2012"	125	917092	13.6	13.2
	"Delaware"	"10"	"2013"	"2013"	122	925749	13.2	12.5
	"Delaware"	"10"	"2014"	"2014"	126	935614	13.5	13.2
	"Delaware"	"10"	"2015"	"2015"	122	945934	12.9	12.6
	"Delaware"	"10"	"2016"	"2016"	120	952065	12.6	11.6
	"Delaware"	"10"	"2017"	"2017"	112	961939	11.6	11.6
	"Delaware"	"10"	"2018"	"2018"	114	967171	11.8	11.5
	"Delaware"	"10"	"2019"	"2019"	111	973764	11.4	11.3
	"Delaware"	"10"	"2020 "	"2020"	125	986809	12.7	12.4
	"District of Columbia"	"11"	"2010"	"2010"	48	601723	8.0	8.0
	"District of Columbia"	"11"	"2011"	"2011"	39	617996	6.3	5.9
	"District of Columbia"	"11"	"2012"	"2012"	41	632323	6.5	6.1
	"District of Columbia"	"11"	"2013"	"2013"	40	646449	6.2	6.1
	"District of Columbia"	"11"	"2014"	"2014"	55	658893	8.3	8.2
	"District of Columbia"	"11"	"2015"	"2015"	35	672228	5.2	5.0
	"District of Columbia"	"11"	"2016"	"2016"	42	681170	6.2	5.5
	"District of Columbia"	"11"	"2017"	"2017"	48	693972	6.9	6.7
	"District of Columbia"	"11"	"2018"	"2018"	57	702455	8.1	7.9
	"District of Columbia"	"11"	"2019"	"2019"	45	705749	6.4	6.3
	"District of Columbia"	"11"	"2020 "	"2020"	40	712816	5.6	5.8
	"Florida"	"12"	"2010"	"2010"	2811	18801310	15.0	13.8
	"Florida"	"12"	"2011"	"2011"	2907	19057542	15.3	14.1
	"Florida"	"12"	"2012"	"2012"	3025	19317568	15.7	14.4
	"Florida"	"12"	"2013"	"2013"	2958	19552860	15.1	13.9
	"Florida"	"12"	"2014"	"2014"	3054	19893297	15.4	14.0
	"Florida"	"12"	"2015"	"2015"	3233	20271272	15.9	14.6
	"Florida"	"12"	"2016"	"2016"	3168	20612439	15.4	14.1
	"Florida"	"12"	"2017"	"2017"	3249	20984400	15.5	14.1
