"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"1999"	"1999"	"Female"	"F"	12291	1852123	663.6
	"< 1 year"	"0"	"1999"	"1999"	"Male"	"M"	15646	1943639	805.0
"Total"	"< 1 year"	"0"	"1999"	"1999"			27937	3795762	736.0
	"< 1 year"	"0"	"2000"	"2000"	"Female"	"F"	12317	1856631	663.4
	"< 1 year"	"0"	"2000"	"2000"	"Male"	"M"	15718	1949017	806.5
"Total"	"< 1 year"	"0"	"2000"	"2000"			28035	3805648	736.7
	"< 1 year"	"0"	"2001"	"2001"	"Female"	"F"	12091	1962905	616.0
	"< 1 year"	"0"	"2001"	"2001"	"Male"	"M"	15477	2049753	755.1
"Total"	"< 1 year"	"0"	"2001"	"2001"			27568	4012658	687.0
	"< 1 year"	"0"	"2002"	"2002"	"Female"	"F"	12317	1932939	637.2
	"< 1 year"	"0"	"2002"	"2002"	"Male"	"M"	15717	2018522	778.6
"Total"	"< 1 year"	"0"	"2002"	"2002"			28034	3951461	709.5
	"< 1 year"	"0"	"2003"	"2003"	"Female"	"F"	12123	1942634	624.0
	"< 1 year"	"0"	"2003"	"2003"	"Male"	"M"	15902	2033237	782.1
"Total"	"< 1 year"	"0"	"2003"	"2003"			28025	3975871	704.9
	"< 1 year"	"0"	"2004"	"2004"	"Female"	"F"	12218	1962216	622.7
	"< 1 year"	"0"	"2004"	"2004"	"Male"	"M"	15718	2052042	766.0
"Total"	"< 1 year"	"0"	"2004"	"2004"			27936	4014258	695.9
	"< 1 year"	"0"	"2005"	"2005"	"Female"	"F"	12422	1956682	634.9
	"< 1 year"	"0"	"2005"	"2005"	"Male"	"M"	16018	2047711	782.2
"Total"	"< 1 year"	"0"	"2005"	"2005"			28440	4004393	710.2
	"< 1 year"	"0"	"2006"	"2006"	"Female"	"F"	12547	1975919	635.0
	"< 1 year"	"0"	"2006"	"2006"	"Male"	"M"	15980	2065819	773.5
"Total"	"< 1 year"	"0"	"2006"	"2006"			28527	4041738	705.8
	"< 1 year"	"0"	"2007"	"2007"	"Female"	"F"	12845	2027181	633.6
	"< 1 year"	"0"	"2007"	"2007"	"Male"	"M"	16293	2120816	768.2
"Total"	"< 1 year"	"0"	"2007"	"2007"			29138	4147997	702.5
	"< 1 year"	"0"	"2008"	"2008"	"Female"	"F"	12390	2022889	612.5
	"< 1 year"	"0"	"2008"	"2008"	"Male"	"M"	15669	2109846	742.7
"Total"	"< 1 year"	"0"	"2008"	"2008"			28059	4132735	678.9
	"< 1 year"	"0"	"2009"	"2009"	"Female"	"F"	11589	1959169	591.5
	"< 1 year"	"0"	"2009"	"2009"	"Male"	"M"	14823	2044418	725.0
"Total"	"< 1 year"	"0"	"2009"	"2009"			26412	4003587	659.7
	"< 1 year"	"0"	"2010"	"2010"	"Female"	"F"	10884	1929877	564.0
	"< 1 year"	"0"	"2010"	"2010"	"Male"	"M"	13702	2014276	680.2
"Total"	"< 1 year"	"0"	"2010"	"2010"			24586	3944153	623.4
	"< 1 year"	"0"	"2011"	"2011"	"Female"	"F"	10658	1952827	545.8
	"< 1 year"	"0"	"2011"	"2011"	"Male"	"M"	13327	2043710	652.1
"Total"	"< 1 year"	"0"	"2011"	"2011"			23985	3996537	600.1
	"< 1 year"	"0"	"2012"	"2012"	"Female"	"F"	10490	1926339	544.6
	"< 1 year"	"0"	"2012"	"2012"	"Male"	"M"	13139	2016738	651.5
"Total"	"< 1 year"	"0"	"2012"	"2012"			23629	3943077	599.3
	"< 1 year"	"0"	"2013"	"2013"	"Female"	"F"	10321	1925056	536.1
	"< 1 year"	"0"	"2013"	"2013"	"Male"	"M"	13119	2016727	650.5
"Total"	"< 1 year"	"0"	"2013"	"2013"			23440	3941783	594.7
	"< 1 year"	"0"	"2014"	"2014"	"Female"	"F"	10329	1930493	535.0
	"< 1 year"	"0"	"2014"	"2014"	"Male"	"M"	12886	2017857	638.6
"Total"	"< 1 year"	"0"	"2014"	"2014"			23215	3948350	588.0
	"< 1 year"	"0"	"2015"	"2015"	"Female"	"F"	10447	1942904	537.7
	"< 1 year"	"0"	"2015"	"2015"	"Male"	"M"	13008	2035134	639.2
"Total"	"< 1 year"	"0"	"2015"	"2015"			23455	3978038	589.6
	"< 1 year"	"0"	"2016"	"2016"	"Female"	"F"	10294	1939667	530.7
	"< 1 year"	"0"	"2016"	"2016"	"Male"	"M"	12867	2030478	633.7
"Total"	"< 1 year"	"0"	"2016"	"2016"			23161	3970145	583.4
	"< 1 year"	"0"	"2017"	"2017"	"Female"	"F"	9867	1924145	512.8
	"< 1 year"	"0"	"2017"	"2017"	"Male"	"M"	12468	2015150	618.7
"Total"	"< 1 year"	"0"	"2017"	"2017"			22335	3939295	567.0
	"< 1 year"	"0"	"2018"	"2018"	"Female"	"F"	9399	1879703	500.0
	"< 1 year"	"0"	"2018"	"2018"	"Male"	"M"	12068	1968505	613.1
"Total"	"< 1 year"	"0"	"2018"	"2018"			21467	3848208	557.8
	"< 1 year"	"0"	"2019"	"2019"	"Female"	"F"	9247	1847935	500.4
	"< 1 year"	"0"	"2019"	"2019"	"Male"	"M"	11674	1935117	603.3
"Total"	"< 1 year"	"0"	"2019"	"2019"			20921	3783052	553.0
"Total"	"< 1 year"	"0"					538305	83178746	647.2
	"1 year"	"1"	"1999"	"1999"	"Female"	"F"	886	1849170	47.9
	"1 year"	"1"	"1999"	"1999"	"Male"	"M"	1103	1935918	57.0
"Total"	"1 year"	"1"	"1999"	"1999"			1989	3785088	52.5
	"1 year"	"1"	"2000"	"2000"	"Female"	"F"	856	1867477	45.8
	"1 year"	"1"	"2000"	"2000"	"Male"	"M"	1090	1953105	55.8
"Total"	"1 year"	"1"	"2000"	"2000"			1946	3820582	50.9
	"1 year"	"1"	"2001"	"2001"	"Female"	"F"	891	1882601	47.3
	"1 year"	"1"	"2001"	"2001"	"Male"	"M"	1111	1972806	56.3
"Total"	"1 year"	"1"	"2001"	"2001"			2002	3855407	51.9
	"1 year"	"1"	"2002"	"2002"	"Female"	"F"	827	1960195	42.2
	"1 year"	"1"	"2002"	"2002"	"Male"	"M"	1083	2044479	53.0
"Total"	"1 year"	"1"	"2002"	"2002"			1910	4004674	47.7
	"1 year"	"1"	"2003"	"2003"	"Female"	"F"	804	1926719	41.7
	"1 year"	"1"	"2003"	"2003"	"Male"	"M"	1060	2009420	52.8
"Total"	"1 year"	"1"	"2003"	"2003"			1864	3936139	47.4
	"1 year"	"1"	"2004"	"2004"	"Female"	"F"	908	1932894	47.0
