"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"1999"	"1999"	"Female"	"F"	32	1852123	1.7
	"< 1 year"	"0"	"1999"	"1999"	"Male"	"M"	36	1943639	1.9
"Total"	"< 1 year"	"0"	"1999"	"1999"			68	3795762	1.8
	"< 1 year"	"0"	"2000"	"2000"	"Female"	"F"	42	1856631	2.3
	"< 1 year"	"0"	"2000"	"2000"	"Male"	"M"	50	1949017	2.6
"Total"	"< 1 year"	"0"	"2000"	"2000"			92	3805648	2.4
	"< 1 year"	"0"	"2001"	"2001"	"Female"	"F"	35	1962905	1.8
	"< 1 year"	"0"	"2001"	"2001"	"Male"	"M"	31	2049753	1.5
"Total"	"< 1 year"	"0"	"2001"	"2001"			66	4012658	1.6
	"< 1 year"	"0"	"2002"	"2002"	"Female"	"F"	32	1932939	1.7
	"< 1 year"	"0"	"2002"	"2002"	"Male"	"M"	42	2018522	2.1
"Total"	"< 1 year"	"0"	"2002"	"2002"			74	3951461	1.9
	"< 1 year"	"0"	"2003"	"2003"	"Female"	"F"	41	1942634	2.1
	"< 1 year"	"0"	"2003"	"2003"	"Male"	"M"	34	2033237	1.7
"Total"	"< 1 year"	"0"	"2003"	"2003"			75	3975871	1.9
	"< 1 year"	"0"	"2004"	"2004"	"Female"	"F"	37	1962216	1.9
	"< 1 year"	"0"	"2004"	"2004"	"Male"	"M"	37	2052042	1.8
"Total"	"< 1 year"	"0"	"2004"	"2004"			74	4014258	1.8
	"< 1 year"	"0"	"2005"	"2005"	"Female"	"F"	30	1956682	1.5
	"< 1 year"	"0"	"2005"	"2005"	"Male"	"M"	45	2047711	2.2
"Total"	"< 1 year"	"0"	"2005"	"2005"			75	4004393	1.9
	"< 1 year"	"0"	"2006"	"2006"	"Female"	"F"	37	1975919	1.9
	"< 1 year"	"0"	"2006"	"2006"	"Male"	"M"	39	2065819	1.9
"Total"	"< 1 year"	"0"	"2006"	"2006"			76	4041738	1.9
	"< 1 year"	"0"	"2007"	"2007"	"Female"	"F"	33	2027181	1.6
	"< 1 year"	"0"	"2007"	"2007"	"Male"	"M"	39	2120816	1.8
"Total"	"< 1 year"	"0"	"2007"	"2007"			72	4147997	1.7
	"< 1 year"	"0"	"2008"	"2008"	"Female"	"F"	22	2022889	1.1
	"< 1 year"	"0"	"2008"	"2008"	"Male"	"M"	48	2109846	2.3
"Total"	"< 1 year"	"0"	"2008"	"2008"			70	4132735	1.7
	"< 1 year"	"0"	"2009"	"2009"	"Female"	"F"	30	1959169	1.5
	"< 1 year"	"0"	"2009"	"2009"	"Male"	"M"	44	2044418	2.2
"Total"	"< 1 year"	"0"	"2009"	"2009"			74	4003587	1.8
	"< 1 year"	"0"	"2010"	"2010"	"Female"	"F"	31	1929877	1.6
	"< 1 year"	"0"	"2010"	"2010"	"Male"	"M"	31	2014276	1.5
"Total"	"< 1 year"	"0"	"2010"	"2010"			62	3944153	1.6
	"< 1 year"	"0"	"2011"	"2011"	"Female"	"F"	31	1952827	1.6
	"< 1 year"	"0"	"2011"	"2011"	"Male"	"M"	39	2043710	1.9
"Total"	"< 1 year"	"0"	"2011"	"2011"			70	3996537	1.8
	"< 1 year"	"0"	"2012"	"2012"	"Female"	"F"	29	1926339	1.5
	"< 1 year"	"0"	"2012"	"2012"	"Male"	"M"	34	2016738	1.7
"Total"	"< 1 year"	"0"	"2012"	"2012"			63	3943077	1.6
	"< 1 year"	"0"	"2013"	"2013"	"Female"	"F"	34	1925056	1.8
	"< 1 year"	"0"	"2013"	"2013"	"Male"	"M"	30	2016727	1.5
"Total"	"< 1 year"	"0"	"2013"	"2013"			64	3941783	1.6
	"< 1 year"	"0"	"2014"	"2014"	"Female"	"F"	30	1930493	1.6
	"< 1 year"	"0"	"2014"	"2014"	"Male"	"M"	22	2017857	1.1
"Total"	"< 1 year"	"0"	"2014"	"2014"			52	3948350	1.3
	"< 1 year"	"0"	"2015"	"2015"	"Female"	"F"	22	1942904	1.1
	"< 1 year"	"0"	"2015"	"2015"	"Male"	"M"	31	2035134	1.5
"Total"	"< 1 year"	"0"	"2015"	"2015"			53	3978038	1.3
	"< 1 year"	"0"	"2016"	"2016"	"Female"	"F"	31	1939667	1.6
	"< 1 year"	"0"	"2016"	"2016"	"Male"	"M"	36	2030478	1.8
"Total"	"< 1 year"	"0"	"2016"	"2016"			67	3970145	1.7
	"< 1 year"	"0"	"2017"	"2017"	"Female"	"F"	32	1924145	1.7
	"< 1 year"	"0"	"2017"	"2017"	"Male"	"M"	25	2015150	1.2
"Total"	"< 1 year"	"0"	"2017"	"2017"			57	3939295	1.4
	"< 1 year"	"0"	"2018"	"2018"	"Female"	"F"	24	1879703	1.3
	"< 1 year"	"0"	"2018"	"2018"	"Male"	"M"	27	1968505	1.4
"Total"	"< 1 year"	"0"	"2018"	"2018"			51	3848208	1.3
	"< 1 year"	"0"	"2019"	"2019"	"Female"	"F"	23	1847935	1.2
	"< 1 year"	"0"	"2019"	"2019"	"Male"	"M"	32	1935117	1.7
"Total"	"< 1 year"	"0"	"2019"	"2019"			55	3783052	1.5
"Total"	"< 1 year"	"0"					1410	83178746	1.7
	"1 year"	"1"	"1999"	"1999"	"Female"	"F"	43	1849170	2.3
	"1 year"	"1"	"1999"	"1999"	"Male"	"M"	36	1935918	1.9
"Total"	"1 year"	"1"	"1999"	"1999"			79	3785088	2.1
	"1 year"	"1"	"2000"	"2000"	"Female"	"F"	44	1867477	2.4
	"1 year"	"1"	"2000"	"2000"	"Male"	"M"	51	1953105	2.6
"Total"	"1 year"	"1"	"2000"	"2000"			95	3820582	2.5
	"1 year"	"1"	"2001"	"2001"	"Female"	"F"	39	1882601	2.1
	"1 year"	"1"	"2001"	"2001"	"Male"	"M"	41	1972806	2.1
"Total"	"1 year"	"1"	"2001"	"2001"			80	3855407	2.1
	"1 year"	"1"	"2002"	"2002"	"Female"	"F"	40	1960195	2.0
	"1 year"	"1"	"2002"	"2002"	"Male"	"M"	46	2044479	2.2
"Total"	"1 year"	"1"	"2002"	"2002"			86	4004674	2.1
	"1 year"	"1"	"2003"	"2003"	"Female"	"F"	29	1926719	1.5
	"1 year"	"1"	"2003"	"2003"	"Male"	"M"	46	2009420	2.3
"Total"	"1 year"	"1"	"2003"	"2003"			75	3936139	1.9
	"1 year"	"1"	"2004"	"2004"	"Female"	"F"	44	1932894	2.3
	"1 year"	"1"	"2004"	"2004"	"Male"	"M"	43	2020169	2.1
"Total"	"1 year"	"1"	"2004"	"2004"			87	3953063	2.2
	"1 year"	"1"	"2005"	"2005"	"Female"	"F"	29	1950494	1.5
	"1 year"	"1"	"2005"	"2005"	"Male"	"M"	55	2036538	2.7
"Total"	"1 year"	"1"	"2005"	"2005"			84	3987032	2.1
	"1 year"	"1"	"2006"	"2006"	"Female"	"F"	39	1942541	2.0
	"1 year"	"1"	"2006"	"2006"	"Male"	"M"	40	2029583	2.0
"Total"	"1 year"	"1"	"2006"	"2006"			79	3972124	2.0
	"1 year"	"1"	"2007"	"2007"	"Female"	"F"	37	1958096	1.9
	"1 year"	"1"	"2007"	"2007"	"Male"	"M"	33	2044119	1.6
"Total"	"1 year"	"1"	"2007"	"2007"			70	4002215	1.7
	"1 year"	"1"	"2008"	"2008"	"Female"	"F"	37	2005602	1.8
	"1 year"	"1"	"2008"	"2008"	"Male"	"M"	45	2095154	2.1
"Total"	"1 year"	"1"	"2008"	"2008"			82	4100756	2.0
	"1 year"	"1"	"2009"	"2009"	"Female"	"F"	41	1997919	2.1
	"1 year"	"1"	"2009"	"2009"	"Male"	"M"	32	2080878	1.5
"Total"	"1 year"	"1"	"2009"	"2009"			73	4078797	1.8
	"1 year"	"1"	"2010"	"2010"	"Female"	"F"	41	1947217	2.1
	"1 year"	"1"	"2010"	"2010"	"Male"	"M"	36	2030853	1.8
"Total"	"1 year"	"1"	"2010"	"2010"			77	3978070	1.9
	"1 year"	"1"	"2011"	"2011"	"Female"	"F"	44	1941933	2.3
	"1 year"	"1"	"2011"	"2011"	"Male"	"M"	38	2027089	1.9
"Total"	"1 year"	"1"	"2011"	"2011"			82	3969022	2.1
	"1 year"	"1"	"2012"	"2012"	"Female"	"F"	48	1946097	2.5
	"1 year"	"1"	"2012"	"2012"	"Male"	"M"	47	2035426	2.3
"Total"	"1 year"	"1"	"2012"	"2012"			95	3981523	2.4
	"1 year"	"1"	"2013"	"2013"	"Female"	"F"	31	1933929	1.6
	"1 year"	"1"	"2013"	"2013"	"Male"	"M"	38	2022013	1.9
"Total"	"1 year"	"1"	"2013"	"2013"			69	3955942	1.7
	"1 year"	"1"	"2014"	"2014"	"Female"	"F"	28	1938870	1.4
	"1 year"	"1"	"2014"	"2014"	"Male"	"M"	44	2023253	2.2
"Total"	"1 year"	"1"	"2014"	"2014"			72	3962123	1.8
	"1 year"	"1"	"2015"	"2015"	"Female"	"F"	34	1939269	1.8
	"1 year"	"1"	"2015"	"2015"	"Male"	"M"	51	2029295	2.5
"Total"	"1 year"	"1"	"2015"	"2015"			85	3968564	2.1
	"1 year"	"1"	"2016"	"2016"	"Female"	"F"	36	1953850	1.8
	"1 year"	"1"	"2016"	"2016"	"Male"	"M"	44	2041158	2.2
"Total"	"1 year"	"1"	"2016"	"2016"			80	3995008	2.0
	"1 year"	"1"	"2017"	"2017"	"Female"	"F"	35	1943534	1.8
	"1 year"	"1"	"2017"	"2017"	"Male"	"M"	42	2031718	2.1
"Total"	"1 year"	"1"	"2017"	"2017"			77	3975252	1.9
	"1 year"	"1"	"2018"	"2018"	"Female"	"F"	21	1911513	1.1
