"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"1999"	"1999"	"Female"	"F"	7	1852123	Unreliable
	"< 1 year"	"0"	"1999"	"1999"	"Male"	"M"	14	1943639	Unreliable
"Total"	"< 1 year"	"0"	"1999"	"1999"			21	3795762	0.6
	"< 1 year"	"0"	"2000"	"2000"	"Female"	"F"	6	1856631	Unreliable
	"< 1 year"	"0"	"2000"	"2000"	"Male"	"M"	12	1949017	Unreliable
"Total"	"< 1 year"	"0"	"2000"	"2000"			18	3805648	Unreliable
	"< 1 year"	"0"	"2001"	"2001"	"Female"	"F"	8	1962905	Unreliable
	"< 1 year"	"0"	"2001"	"2001"	"Male"	"M"	14	2049753	Unreliable
"Total"	"< 1 year"	"0"	"2001"	"2001"			22	4012658	0.5
	"< 1 year"	"0"	"2002"	"2002"	"Female"	"F"	9	1932939	Unreliable
	"< 1 year"	"0"	"2002"	"2002"	"Male"	"M"	20	2018522	1.0
"Total"	"< 1 year"	"0"	"2002"	"2002"			29	3951461	0.7
	"< 1 year"	"0"	"2003"	"2003"	"Female"	"F"	8	1942634	Unreliable
	"< 1 year"	"0"	"2003"	"2003"	"Male"	"M"	16	2033237	Unreliable
"Total"	"< 1 year"	"0"	"2003"	"2003"			24	3975871	0.6
	"< 1 year"	"0"	"2004"	"2004"	"Female"	"F"	19	1962216	Unreliable
	"< 1 year"	"0"	"2004"	"2004"	"Male"	"M"	11	2052042	Unreliable
"Total"	"< 1 year"	"0"	"2004"	"2004"			30	4014258	0.7
	"< 1 year"	"0"	"2005"	"2005"	"Female"	"F"	17	1956682	Unreliable
	"< 1 year"	"0"	"2005"	"2005"	"Male"	"M"	18	2047711	Unreliable
"Total"	"< 1 year"	"0"	"2005"	"2005"			35	4004393	0.9
	"< 1 year"	"0"	"2006"	"2006"	"Female"	"F"	21	1975919	1.1
	"< 1 year"	"0"	"2006"	"2006"	"Male"	"M"	23	2065819	1.1
"Total"	"< 1 year"	"0"	"2006"	"2006"			44	4041738	1.1
	"< 1 year"	"0"	"2007"	"2007"	"Female"	"F"	15	2027181	Unreliable
	"< 1 year"	"0"	"2007"	"2007"	"Male"	"M"	18	2120816	Unreliable
"Total"	"< 1 year"	"0"	"2007"	"2007"			33	4147997	0.8
	"< 1 year"	"0"	"2008"	"2008"	"Female"	"F"	9	2022889	Unreliable
	"< 1 year"	"0"	"2008"	"2008"	"Male"	"M"	11	2109846	Unreliable
"Total"	"< 1 year"	"0"	"2008"	"2008"			20	4132735	0.5
	"< 1 year"	"0"	"2009"	"2009"	"Female"	"F"	19	1959169	Unreliable
	"< 1 year"	"0"	"2009"	"2009"	"Male"	"M"	13	2044418	Unreliable
"Total"	"< 1 year"	"0"	"2009"	"2009"			32	4003587	0.8
	"< 1 year"	"0"	"2010"	"2010"	"Female"	"F"	9	1929877	Unreliable
	"< 1 year"	"0"	"2010"	"2010"	"Male"	"M"	14	2014276	Unreliable
"Total"	"< 1 year"	"0"	"2010"	"2010"			23	3944153	0.6
	"< 1 year"	"0"	"2011"	"2011"	"Female"	"F"	8	1952827	Unreliable
	"< 1 year"	"0"	"2011"	"2011"	"Male"	"M"	16	2043710	Unreliable
"Total"	"< 1 year"	"0"	"2011"	"2011"			24	3996537	0.6
	"< 1 year"	"0"	"2012"	"2012"	"Female"	"F"	14	1926339	Unreliable
	"< 1 year"	"0"	"2012"	"2012"	"Male"	"M"	18	2016738	Unreliable
"Total"	"< 1 year"	"0"	"2012"	"2012"			32	3943077	0.8
	"< 1 year"	"0"	"2013"	"2013"	"Female"	"F"	17	1925056	Unreliable
	"< 1 year"	"0"	"2013"	"2013"	"Male"	"M"	13	2016727	Unreliable
"Total"	"< 1 year"	"0"	"2013"	"2013"			30	3941783	0.8
	"< 1 year"	"0"	"2014"	"2014"	"Female"	"F"	13	1930493	Unreliable
	"< 1 year"	"0"	"2014"	"2014"	"Male"	"M"	11	2017857	Unreliable
"Total"	"< 1 year"	"0"	"2014"	"2014"			24	3948350	0.6
	"< 1 year"	"0"	"2015"	"2015"	"Female"	"F"	10	1942904	Unreliable
	"< 1 year"	"0"	"2015"	"2015"	"Male"	"M"	18	2035134	Unreliable
"Total"	"< 1 year"	"0"	"2015"	"2015"			28	3978038	0.7
	"< 1 year"	"0"	"2016"	"2016"	"Female"	"F"	15	1939667	Unreliable
	"< 1 year"	"0"	"2016"	"2016"	"Male"	"M"	18	2030478	Unreliable
"Total"	"< 1 year"	"0"	"2016"	"2016"			33	3970145	0.8
	"< 1 year"	"0"	"2017"	"2017"	"Female"	"F"	17	1924145	Unreliable
	"< 1 year"	"0"	"2017"	"2017"	"Male"	"M"	19	2015150	Unreliable
"Total"	"< 1 year"	"0"	"2017"	"2017"			36	3939295	0.9
	"< 1 year"	"0"	"2018"	"2018"	"Female"	"F"	16	1879703	Unreliable
	"< 1 year"	"0"	"2018"	"2018"	"Male"	"M"	16	1968505	Unreliable
"Total"	"< 1 year"	"0"	"2018"	"2018"			32	3848208	0.8
	"< 1 year"	"0"	"2019"	"2019"	"Female"	"F"	20	1847935	1.1
	"< 1 year"	"0"	"2019"	"2019"	"Male"	"M"	30	1935117	1.6
"Total"	"< 1 year"	"0"	"2019"	"2019"			50	3783052	1.3
"Total"	"< 1 year"	"0"					620	83178746	0.7
	"1 year"	"1"	"1999"	"1999"	"Female"	"F"	7	1849170	Unreliable
	"1 year"	"1"	"1999"	"1999"	"Male"	"M"	5	1935918	Unreliable
"Total"	"1 year"	"1"	"1999"	"1999"			12	3785088	Unreliable
	"1 year"	"1"	"2000"	"2000"	"Female"	"F"	1	1867477	Unreliable
	"1 year"	"1"	"2000"	"2000"	"Male"	"M"	4	1953105	Unreliable
"Total"	"1 year"	"1"	"2000"	"2000"			5	3820582	Unreliable
	"1 year"	"1"	"2001"	"2001"	"Female"	"F"	3	1882601	Unreliable
	"1 year"	"1"	"2001"	"2001"	"Male"	"M"	8	1972806	Unreliable
"Total"	"1 year"	"1"	"2001"	"2001"			11	3855407	Unreliable
	"1 year"	"1"	"2002"	"2002"	"Female"	"F"	7	1960195	Unreliable
	"1 year"	"1"	"2002"	"2002"	"Male"	"M"	4	2044479	Unreliable
"Total"	"1 year"	"1"	"2002"	"2002"			11	4004674	Unreliable
	"1 year"	"1"	"2003"	"2003"	"Female"	"F"	5	1926719	Unreliable
	"1 year"	"1"	"2003"	"2003"	"Male"	"M"	11	2009420	Unreliable
"Total"	"1 year"	"1"	"2003"	"2003"			16	3936139	Unreliable
	"1 year"	"1"	"2004"	"2004"	"Female"	"F"	6	1932894	Unreliable
	"1 year"	"1"	"2004"	"2004"	"Male"	"M"	7	2020169	Unreliable
"Total"	"1 year"	"1"	"2004"	"2004"			13	3953063	Unreliable
	"1 year"	"1"	"2005"	"2005"	"Female"	"F"	3	1950494	Unreliable
	"1 year"	"1"	"2005"	"2005"	"Male"	"M"	10	2036538	Unreliable
"Total"	"1 year"	"1"	"2005"	"2005"			13	3987032	Unreliable
	"1 year"	"1"	"2006"	"2006"	"Female"	"F"	7	1942541	Unreliable
	"1 year"	"1"	"2006"	"2006"	"Male"	"M"	6	2029583	Unreliable
"Total"	"1 year"	"1"	"2006"	"2006"			13	3972124	Unreliable
	"1 year"	"1"	"2007"	"2007"	"Female"	"F"	13	1958096	Unreliable
	"1 year"	"1"	"2007"	"2007"	"Male"	"M"	11	2044119	Unreliable
