"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"1999"	"1999"	"Female"	"F"	22	1852123	1.2
	"< 1 year"	"0"	"1999"	"1999"	"Male"	"M"	17	1943639	Unreliable
"Total"	"< 1 year"	"0"	"1999"	"1999"			39	3795762	1.0
	"< 1 year"	"0"	"2000"	"2000"	"Female"	"F"	14	1856631	Unreliable
	"< 1 year"	"0"	"2000"	"2000"	"Male"	"M"	28	1949017	1.4
"Total"	"< 1 year"	"0"	"2000"	"2000"			42	3805648	1.1
	"< 1 year"	"0"	"2001"	"2001"	"Female"	"F"	10	1962905	Unreliable
	"< 1 year"	"0"	"2001"	"2001"	"Male"	"M"	22	2049753	1.1
"Total"	"< 1 year"	"0"	"2001"	"2001"			32	4012658	0.8
	"< 1 year"	"0"	"2002"	"2002"	"Female"	"F"	13	1932939	Unreliable
	"< 1 year"	"0"	"2002"	"2002"	"Male"	"M"	20	2018522	1.0
"Total"	"< 1 year"	"0"	"2002"	"2002"			33	3951461	0.8
	"< 1 year"	"0"	"2003"	"2003"	"Female"	"F"	12	1942634	Unreliable
	"< 1 year"	"0"	"2003"	"2003"	"Male"	"M"	15	2033237	Unreliable
"Total"	"< 1 year"	"0"	"2003"	"2003"			27	3975871	0.7
	"< 1 year"	"0"	"2004"	"2004"	"Female"	"F"	6	1962216	Unreliable
	"< 1 year"	"0"	"2004"	"2004"	"Male"	"M"	12	2052042	Unreliable
"Total"	"< 1 year"	"0"	"2004"	"2004"			18	4014258	Unreliable
	"< 1 year"	"0"	"2005"	"2005"	"Female"	"F"	9	1956682	Unreliable
	"< 1 year"	"0"	"2005"	"2005"	"Male"	"M"	10	2047711	Unreliable
"Total"	"< 1 year"	"0"	"2005"	"2005"			19	4004393	Unreliable
	"< 1 year"	"0"	"2006"	"2006"	"Female"	"F"	10	1975919	Unreliable
	"< 1 year"	"0"	"2006"	"2006"	"Male"	"M"	22	2065819	1.1
"Total"	"< 1 year"	"0"	"2006"	"2006"			32	4041738	0.8
	"< 1 year"	"0"	"2007"	"2007"	"Female"	"F"	17	2027181	Unreliable
	"< 1 year"	"0"	"2007"	"2007"	"Male"	"M"	18	2120816	Unreliable
"Total"	"< 1 year"	"0"	"2007"	"2007"			35	4147997	0.8
	"< 1 year"	"0"	"2008"	"2008"	"Female"	"F"	7	2022889	Unreliable
	"< 1 year"	"0"	"2008"	"2008"	"Male"	"M"	19	2109846	Unreliable
"Total"	"< 1 year"	"0"	"2008"	"2008"			26	4132735	0.6
	"< 1 year"	"0"	"2009"	"2009"	"Female"	"F"	7	1959169	Unreliable
	"< 1 year"	"0"	"2009"	"2009"	"Male"	"M"	14	2044418	Unreliable
"Total"	"< 1 year"	"0"	"2009"	"2009"			21	4003587	0.5
	"< 1 year"	"0"	"2010"	"2010"	"Female"	"F"	12	1929877	Unreliable
	"< 1 year"	"0"	"2010"	"2010"	"Male"	"M"	15	2014276	Unreliable
"Total"	"< 1 year"	"0"	"2010"	"2010"			27	3944153	0.7
	"< 1 year"	"0"	"2011"	"2011"	"Female"	"F"	6	1952827	Unreliable
	"< 1 year"	"0"	"2011"	"2011"	"Male"	"M"	16	2043710	Unreliable
"Total"	"< 1 year"	"0"	"2011"	"2011"			22	3996537	0.6
	"< 1 year"	"0"	"2012"	"2012"	"Female"	"F"	12	1926339	Unreliable
	"< 1 year"	"0"	"2012"	"2012"	"Male"	"M"	13	2016738	Unreliable
"Total"	"< 1 year"	"0"	"2012"	"2012"			25	3943077	0.6
	"< 1 year"	"0"	"2013"	"2013"	"Female"	"F"	10	1925056	Unreliable
	"< 1 year"	"0"	"2013"	"2013"	"Male"	"M"	9	2016727	Unreliable
"Total"	"< 1 year"	"0"	"2013"	"2013"			19	3941783	Unreliable
	"< 1 year"	"0"	"2014"	"2014"	"Female"	"F"	6	1930493	Unreliable
	"< 1 year"	"0"	"2014"	"2014"	"Male"	"M"	13	2017857	Unreliable
"Total"	"< 1 year"	"0"	"2014"	"2014"			19	3948350	Unreliable
	"< 1 year"	"0"	"2015"	"2015"	"Female"	"F"	6	1942904	Unreliable
	"< 1 year"	"0"	"2015"	"2015"	"Male"	"M"	11	2035134	Unreliable
"Total"	"< 1 year"	"0"	"2015"	"2015"			17	3978038	Unreliable
	"< 1 year"	"0"	"2016"	"2016"	"Female"	"F"	4	1939667	Unreliable
	"< 1 year"	"0"	"2016"	"2016"	"Male"	"M"	10	2030478	Unreliable
"Total"	"< 1 year"	"0"	"2016"	"2016"			14	3970145	Unreliable
	"< 1 year"	"0"	"2017"	"2017"	"Female"	"F"	9	1924145	Unreliable
	"< 1 year"	"0"	"2017"	"2017"	"Male"	"M"	15	2015150	Unreliable
"Total"	"< 1 year"	"0"	"2017"	"2017"			24	3939295	0.6
	"< 1 year"	"0"	"2018"	"2018"	"Female"	"F"	10	1879703	Unreliable
	"< 1 year"	"0"	"2018"	"2018"	"Male"	"M"	4	1968505	Unreliable
"Total"	"< 1 year"	"0"	"2018"	"2018"			14	3848208	Unreliable
	"< 1 year"	"0"	"2019"	"2019"	"Female"	"F"	12	1847935	Unreliable
	"< 1 year"	"0"	"2019"	"2019"	"Male"	"M"	4	1935117	Unreliable
"Total"	"< 1 year"	"0"	"2019"	"2019"			16	3783052	Unreliable
"Total"	"< 1 year"	"0"					521	83178746	0.6
	"1 year"	"1"	"1999"	"1999"	"Female"	"F"	3	1849170	Unreliable
	"1 year"	"1"	"1999"	"1999"	"Male"	"M"	5	1935918	Unreliable
"Total"	"1 year"	"1"	"1999"	"1999"			8	3785088	Unreliable
	"1 year"	"1"	"2000"	"2000"	"Female"	"F"	4	1867477	Unreliable
	"1 year"	"1"	"2000"	"2000"	"Male"	"M"	5	1953105	Unreliable
"Total"	"1 year"	"1"	"2000"	"2000"			9	3820582	Unreliable
	"1 year"	"1"	"2001"	"2001"	"Female"	"F"	4	1882601	Unreliable
	"1 year"	"1"	"2001"	"2001"	"Male"	"M"	4	1972806	Unreliable
"Total"	"1 year"	"1"	"2001"	"2001"			8	3855407	Unreliable
	"1 year"	"1"	"2002"	"2002"	"Female"	"F"	2	1960195	Unreliable
	"1 year"	"1"	"2002"	"2002"	"Male"	"M"	7	2044479	Unreliable
"Total"	"1 year"	"1"	"2002"	"2002"			9	4004674	Unreliable
