"REF_DATE","GEO","DGUID","Age group","Sex","Cause of death (ICD-10)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Canada","2016A000011124","Under 1 year","Males","Total, all causes of death [A00-Y89]","Number","223","units","0","v21113663","1.2.2.1","986","","","","0"
"2001","Canada","2016A000011124","Under 1 year","Males","Total, all causes of death [A00-Y89]","Number","223","units","0","v21113663","1.2.2.1","997","","","","0"
"2002","Canada","2016A000011124","Under 1 year","Males","Total, all causes of death [A00-Y89]","Number","223","units","0","v21113663","1.2.2.1","980","","","","0"
"2003","Canada","2016A000011124","Under 1 year","Males","Total, all causes of death [A00-Y89]","Number","223","units","0","v21113663","1.2.2.1","983","","","","0"
"2004","Canada","2016A000011124","Under 1 year","Males","Total, all causes of death [A00-Y89]","Number","223","units","0","v21113663","1.2.2.1","953","","","","0"
"2005","Canada","2016A000011124","Under 1 year","Males","Total, all causes of death [A00-Y89]","Number","223","units","0","v21113663","1.2.2.1","1030","","","","0"
"2006","Canada","2016A000011124","Under 1 year","Males","Total, all causes of death [A00-Y89]","Number","223","units","0","v21113663","1.2.2.1","983","","","","0"
"2007","Canada","2016A000011124","Under 1 year","Males","Total, all causes of death [A00-Y89]","Number","223","units","0","v21113663","1.2.2.1","1043","","","","0"
"2008","Canada","2016A000011124","Under 1 year","Males","Total, all causes of death [A00-Y89]","Number","223","units","0","v21113663","1.2.2.1","1057","","","","0"
"2009","Canada","2016A000011124","Under 1 year","Males","Total, all causes of death [A00-Y89]","Number","223","units","0","v21113663","1.2.2.1","993","","","","0"
"2010","Canada","2016A000011124","Under 1 year","Males","Total, all causes of death [A00-Y89]","Number","223","units","0","v21113663","1.2.2.1","1063","","","","0"
"2011","Canada","2016A000011124","Under 1 year","Males","Total, all causes of death [A00-Y89]","Number","223","units","0","v21113663","1.2.2.1","1041","","","","0"
"2012","Canada","2016A000011124","Under 1 year","Males","Total, all causes of death [A00-Y89]","Number","223","units","0","v21113663","1.2.2.1","978","","","","0"
"2013","Canada","2016A000011124","Under 1 year","Males","Total, all causes of death [A00-Y89]","Number","223","units","0","v21113663","1.2.2.1","1032","","","","0"
"2014","Canada","2016A000011124","Under 1 year","Males","Total, all causes of death [A00-Y89]","Number","223","units","0","v21113663","1.2.2.1","1006","","","","0"
"2015","Canada","2016A000011124","Under 1 year","Males","Total, all causes of death [A00-Y89]","Number","223","units","0","v21113663","1.2.2.1","937","","","","0"
"2016","Canada","2016A000011124","Under 1 year","Males","Total, all causes of death [A00-Y89]","Number","223","units","0","v21113663","1.2.2.1","913","","","","0"
"2017","Canada","2016A000011124","Under 1 year","Males","Total, all causes of death [A00-Y89]","Number","223","units","0","v21113663","1.2.2.1","935","","","","0"
"2018","Canada","2016A000011124","Under 1 year","Males","Total, all causes of death [A00-Y89]","Number","223","units","0","v21113663","1.2.2.1","953","","","","0"
"2019","Canada","2016A000011124","Under 1 year","Males","Total, all causes of death [A00-Y89]","Number","223","units","0","v21113663","1.2.2.1","929","","","","0"
"2000","Canada","2016A000011124","Under 1 year","Males","Malignant neoplasms [C00-C97]","Number","223","units","0","v20911450","1.2.2.891","4","","","","0"
"2001","Canada","2016A000011124","Under 1 year","Males","Malignant neoplasms [C00-C97]","Number","223","units","0","v20911450","1.2.2.891","4","","","","0"
"2002","Canada","2016A000011124","Under 1 year","Males","Malignant neoplasms [C00-C97]","Number","223","units","0","v20911450","1.2.2.891","3","","","","0"
"2003","Canada","2016A000011124","Under 1 year","Males","Malignant neoplasms [C00-C97]","Number","223","units","0","v20911450","1.2.2.891","2","","","","0"
"2004","Canada","2016A000011124","Under 1 year","Males","Malignant neoplasms [C00-C97]","Number","223","units","0","v20911450","1.2.2.891","5","","","","0"
