"REF_DATE","GEO","DGUID","Age group","Sex","Cause of death (ICD-10)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of alcohol [F10]","Number","223","units","0","v20974864","1.2.2.2395","0","","","","0"
"2001","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of alcohol [F10]","Number","223","units","0","v20974864","1.2.2.2395","1","","","","0"
"2002","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of alcohol [F10]","Number","223","units","0","v20974864","1.2.2.2395","0","","","","0"
"2003","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of alcohol [F10]","Number","223","units","0","v20974864","1.2.2.2395","0","","","","0"
"2004","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of alcohol [F10]","Number","223","units","0","v20974864","1.2.2.2395","0","","","","0"
"2005","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of alcohol [F10]","Number","223","units","0","v20974864","1.2.2.2395","0","","","","0"
"2006","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of alcohol [F10]","Number","223","units","0","v20974864","1.2.2.2395","0","","","","0"
"2007","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of alcohol [F10]","Number","223","units","0","v20974864","1.2.2.2395","0","","","","0"
"2008","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of alcohol [F10]","Number","223","units","0","v20974864","1.2.2.2395","0","","","","0"
"2009","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of alcohol [F10]","Number","223","units","0","v20974864","1.2.2.2395","0","","","","0"
"2010","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of alcohol [F10]","Number","223","units","0","v20974864","1.2.2.2395","0","","","","0"
"2011","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of alcohol [F10]","Number","223","units","0","v20974864","1.2.2.2395","0","","","","0"
"2012","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of alcohol [F10]","Number","223","units","0","v20974864","1.2.2.2395","0","","","","0"
"2013","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of alcohol [F10]","Number","223","units","0","v20974864","1.2.2.2395","0","","","","0"
"2014","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of alcohol [F10]","Number","223","units","0","v20974864","1.2.2.2395","0","","","","0"
"2015","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of alcohol [F10]","Number","223","units","0","v20974864","1.2.2.2395","0","","","","0"
"2016","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of alcohol [F10]","Number","223","units","0","v20974864","1.2.2.2395","0","","","","0"
"2017","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of alcohol [F10]","Number","223","units","0","v20974864","1.2.2.2395","0","","","","0"
"2018","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of alcohol [F10]","Number","223","units","0","v20974864","1.2.2.2395","0","","","","0"
"2019","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of alcohol [F10]","Number","223","units","0","v20974864","1.2.2.2395","0","","","","0"
"2000","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of opioids [F11]","Number","223","units","0","v20974873","1.2.2.2406","0","","","","0"
"2001","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of opioids [F11]","Number","223","units","0","v20974873","1.2.2.2406","0","","","","0"
"2002","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of opioids [F11]","Number","223","units","0","v20974873","1.2.2.2406","0","","","","0"
"2003","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of opioids [F11]","Number","223","units","0","v20974873","1.2.2.2406","0","","","","0"
"2004","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of opioids [F11]","Number","223","units","0","v20974873","1.2.2.2406","0","","","","0"
"2005","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of opioids [F11]","Number","223","units","0","v20974873","1.2.2.2406","0","","","","0"
"2006","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of opioids [F11]","Number","223","units","0","v20974873","1.2.2.2406","0","","","","0"
"2007","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of opioids [F11]","Number","223","units","0","v20974873","1.2.2.2406","0","","","","0"
"2008","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of opioids [F11]","Number","223","units","0","v20974873","1.2.2.2406","0","","","","0"
"2009","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of opioids [F11]","Number","223","units","0","v20974873","1.2.2.2406","0","","","","0"
"2010","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of opioids [F11]","Number","223","units","0","v20974873","1.2.2.2406","0","","","","0"
"2011","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of opioids [F11]","Number","223","units","0","v20974873","1.2.2.2406","0","","","","0"
"2012","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of opioids [F11]","Number","223","units","0","v20974873","1.2.2.2406","0","","","","0"
"2013","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of opioids [F11]","Number","223","units","0","v20974873","1.2.2.2406","0","","","","0"
"2014","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of opioids [F11]","Number","223","units","0","v20974873","1.2.2.2406","0","","","","0"
"2015","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of opioids [F11]","Number","223","units","0","v20974873","1.2.2.2406","0","","","","0"
"2016","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of opioids [F11]","Number","223","units","0","v20974873","1.2.2.2406","0","","","","0"
"2017","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of opioids [F11]","Number","223","units","0","v20974873","1.2.2.2406","0","","","","0"
"2018","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of opioids [F11]","Number","223","units","0","v20974873","1.2.2.2406","0","","","","0"
"2019","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of opioids [F11]","Number","223","units","0","v20974873","1.2.2.2406","0","","","","0"
"2003","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of cannabinoids [F12]","Number","223","units","0","v32203163","1.2.2.2417","0","","","","0"
"2004","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of cannabinoids [F12]","Number","223","units","0","v32203163","1.2.2.2417","0","","","","0"
"2005","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of cannabinoids [F12]","Number","223","units","0","v32203163","1.2.2.2417","0","","","","0"
"2006","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of cannabinoids [F12]","Number","223","units","0","v32203163","1.2.2.2417","0","","","","0"
"2007","Canada","2016A000011124","Under 1 year","Males","Mental and behavioural disorders due to use of cannabinoids [F12]","Number","223","units","0","v32203163","1.2.2.2417","0","","","","0"
