"Notes"	"State"	"State Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Alabama"	"01"	"White"	"2106-3"	"1999"	"1999"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	18	3211308	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"1999"	"1999"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	66	3211308	2.1	2.0
	"Alabama"	"01"	"White"	"2106-3"	"1999"	"1999"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	24	3211308	0.7	0.7
	"Alabama"	"01"	"White"	"2106-3"	"1999"	"1999"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	19	3211308	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"1999"	"1999"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	39	3211308	1.2	1.2
	"Alabama"	"01"	"White"	"2106-3"	"1999"	"1999"	"Intentional self-harm by handgun discharge"	"X72"	81	3211308	2.5	2.4
	"Alabama"	"01"	"White"	"2106-3"	"1999"	"1999"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	60	3211308	1.9	1.8
	"Alabama"	"01"	"White"	"2106-3"	"1999"	"1999"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	248	3211308	7.7	7.4
	"Alabama"	"01"	"White"	"2106-3"	"1999"	"1999"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	10	3211308	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2000"	"2000"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	18	3218218	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2000"	"2000"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	89	3218218	2.8	2.8
	"Alabama"	"01"	"White"	"2106-3"	"2000"	"2000"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	10	3218218	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2000"	"2000"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	29	3218218	0.9	0.9
	"Alabama"	"01"	"White"	"2106-3"	"2000"	"2000"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	13	3218218	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2000"	"2000"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	57	3218218	1.8	1.8
	"Alabama"	"01"	"White"	"2106-3"	"2000"	"2000"	"Intentional self-harm by handgun discharge"	"X72"	66	3218218	2.1	2.0
	"Alabama"	"01"	"White"	"2106-3"	"2000"	"2000"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	34	3218218	1.1	1.0
	"Alabama"	"01"	"White"	"2106-3"	"2000"	"2000"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	272	3218218	8.5	8.1
	"Alabama"	"01"	"White"	"2106-3"	"2000"	"2000"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	19	3218218	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2001"	"2001"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	24	3225628	0.7	0.8
	"Alabama"	"01"	"White"	"2106-3"	"2001"	"2001"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	108	3225628	3.3	3.3
	"Alabama"	"01"	"White"	"2106-3"	"2001"	"2001"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	25	3225628	0.8	0.8
	"Alabama"	"01"	"White"	"2106-3"	"2001"	"2001"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	12	3225628	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2001"	"2001"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	48	3225628	1.5	1.5
	"Alabama"	"01"	"White"	"2106-3"	"2001"	"2001"	"Intentional self-harm by handgun discharge"	"X72"	56	3225628	1.7	1.6
	"Alabama"	"01"	"White"	"2106-3"	"2001"	"2001"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	47	3225628	1.5	1.4
	"Alabama"	"01"	"White"	"2106-3"	"2001"	"2001"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	234	3225628	7.3	6.9
	"Alabama"	"01"	"White"	"2106-3"	"2001"	"2001"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	10	3225628	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2002"	"2002"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	40	3229712	1.2	1.3
	"Alabama"	"01"	"White"	"2106-3"	"2002"	"2002"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	103	3229712	3.2	3.2
	"Alabama"	"01"	"White"	"2106-3"	"2002"	"2002"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	21	3229712	0.7	0.7
	"Alabama"	"01"	"White"	"2106-3"	"2002"	"2002"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	11	3229712	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2002"	"2002"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	57	3229712	1.8	1.8
	"Alabama"	"01"	"White"	"2106-3"	"2002"	"2002"	"Intentional self-harm by handgun discharge"	"X72"	49	3229712	1.5	1.4
	"Alabama"	"01"	"White"	"2106-3"	"2002"	"2002"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	43	3229712	1.3	1.3
	"Alabama"	"01"	"White"	"2106-3"	"2002"	"2002"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	237	3229712	7.3	7.0
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	24	3241836	0.7	0.7
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	100	3241836	3.1	3.1
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	15	3241836	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	22	3241836	0.7	0.7
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	50	3241836	1.5	1.6
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Intentional self-harm by handgun discharge"	"X72"	44	3241836	1.4	1.3
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	47	3241836	1.4	1.4
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	269	3241836	8.3	7.9
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	13	3241836	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	10	3255811	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	30	3255811	0.9	1.0
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	154	3255811	4.7	4.8
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	33	3255811	1.0	1.0
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	17	3255811	Unreliable	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	59	3255811	1.8	1.9
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Intentional self-harm by handgun discharge"	"X72"	42	3255811	1.3	1.2
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	37	3255811	1.1	1.1
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	239	3255811	7.3	6.9
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	14	3255811	Unreliable	Unreliable
